FID,db_98s17_h,objectid,clogracodi,nlograconc,nlgpavofic,nlgpavresu,flgpavindp,indpav,ct,nmperimetr,nmtpvia,ttrechosul,db2gse_sde,sel,st_length_,Shape__Len,emails_acesso,link_formulario,link_respostas
1765,1746,63294,11347,RUA BERNARDO VIEIRA DE MELO,Rua Bernardo Vieira de Melo,R. Bernardo Vieira de Melo,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00,422.3616493,0,429.2709793,429.2709793,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScsQA99rMy2lPlhDqygFk4SmAgAO87q3LZ6KAa5XnZ6VgcJ-Q/viewform,https://docs.google.com/spreadsheets/d/17UdCD23kX9ccdye21ut8QwKNhiD-V30Lh_RDd0ZAXHQ/edit
1780,1763,63311,11894,RUA DO BOM JESUS,Rua do Bom Jesus,R. do Bom Jesus,S,Via Pavimentada,,,,2022/03/10 21:00:00,337.5606297,0,342.601071,342.601071,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScKxM1VMLXMku_m_gzzdtkd5AuHmPgReNkYqTF3xGcxYH1ZlQ/viewform,https://docs.google.com/spreadsheets/d/1JRaiRW_h3ZU4TBHF-ngVNBD0cAzzQqL9BAqa3fvXu_8/edit
1875,1856,63410,12580,RUA DO BRUM,Rua do Brum,R. do Brum,S,Via Pavimentada,,,,2022/03/10 21:00:00,720.1721194,0,731.8513593,731.8513593,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeAwEdS3LM_dlUg76Yfg5VR40ZGjmisRkJVGlgw4UYlskArUw/viewform,https://docs.google.com/spreadsheets/d/1IR2wLm9sWHSaD3ilksLZq0yEYXd1GVRz00cnn1ITnqM/edit
2077,574,62125,3638,RUA ALVARES CABRAL,Rua Álvares Cabral,R. Alvares Cabral,S,Via Pavimentada,,,,2022/03/10 21:00:00,211.7531358,0,213.8713254,213.8713254,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSejciJOdjYuf8ZKKITxscMMaxUp6_nXwttDv01DUW2xIrI2Wg/viewform,https://docs.google.com/spreadsheets/d/1Q8GwaL4tQCdWt_7gvZ43cd5CC8DQqyge_0tDRcRIHLw/edit
2367,864,62425,2348,RUA ALFANDEGA,Rua Alfândega,R. Alfândega,S,Via Pavimentada,,,,2022/03/10 21:00:00,82.05813551,0,82.87343717,82.87343717,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdaUpXErE_jmEMQDGBfQvDBKRt1pfUhDEfnKSQL3FyG1Nra8g/viewform,https://docs.google.com/spreadsheets/d/1Rs--y25OQR4EiIWeRi6WkIgFYLz2Lo3lDNQgRt9hyuk/edit
2381,878,62424,2330,C DA ALFANDEGA,Cais da Alfândega,C da Alfândega,S,Via Pavimentada,,,,2022/03/10 21:00:00,463.2878072,0,470.2556007,470.2556007,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScV31zeN0szwP_uXVgMS2LAOiI4CJTfUhJTAPCrqn_Wu4GrXw/viewform,https://docs.google.com/spreadsheets/d/1Z7_pU-OG35p1R6O3k1S3pokzuYcWzDdeXLID_SLa4ew/edit
2382,879,62441,2496,AV ALFREDO LISBOA,Avenida Alfredo Lisboa,Av Alfredo Lisboa,S,Via Pavimentada,CTUS,,,2022/03/10 21:00:00,1059.125224,0,1075.015676,1075.015676,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdIS7ghmB2LCBBT4C6aj7FMlMgFaOGRC3DUZmZDX9quK7EJ4A/viewform,https://docs.google.com/spreadsheets/d/15udhgmAQOxe1rHkGvyEL74POx0Sk9zRk9e_1VlE00yI/edit
2907,4392,65940,42528,RUA DONA MARIA CESAR,Rua Dona Maria Cesar,R. Dona Maria Cesar,S,Via Pavimentada,,,,2022/03/10 21:00:00,201.3080957,0,204.5331727,204.5331727,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScvsaggCmw_TxPJkd64k0fp6nsl5KiaA_Zih7m7fmO7L2ANFg/viewform,https://docs.google.com/spreadsheets/d/1JaVp_a7uAN3LMsi-iz-BmjsF7uQ9vVGel9i9X2akI18/edit
2961,4446,65997,43206,RUA MARIZ E BARROS,Rua Mariz e Barros,R. Mariz e Barros,S,Via Pavimentada,,,,2022/03/10 21:00:00,348.8128926,0,354.4875303,354.4875303,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeTwU5qlTifstdECaPiYx-37C4KQMeqguX1-oWh4qr8JPeXJg/viewform,https://docs.google.com/spreadsheets/d/1rY3DAld0dvlAI-P0XCGaD0TzZVo6v1rFavh94bzKTqk/edit
3444,3915,65473,35050,RUA DE SAO JORGE,Rua de São Jorge,R. de São Jorge,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00,590.7713986,0,600.116834,600.116834,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdDrhOUyY45qUllW3TUUvJquYwI4blv9jtfE9AbshLP7J4pKw/viewform,https://docs.google.com/spreadsheets/d/1hAsQYKUjzadTI3lWzMGTuvfSY-fnICbbofXo6P9mA_0/edit
3643,3092,64644,28215,RUA DA GUIA,Rua da Guia,R. da Guia,S,Via Pavimentada,,,,2022/03/10 21:00:00,264.2327894,0,268.2117867,268.2117867,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfzRDUOuuyVUl3LBM0MLYWXQVeMIvfVXbSdFD9MNWyjwN6Ugw/viewform,https://docs.google.com/spreadsheets/d/1H45I6djzaoHcj3mJ6ULow10ff7OGQDckjcDHAtkIpA8/edit
4102,2569,64123,20206,RUA DOMINGOS JOSE MARTINS,Rua Domingos José Martins,R. Domingos José Martins,S,Via Pavimentada,,,,2022/03/10 21:00:00,131.9973011,0,133.9628812,133.9628812,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSekmBkTRoPsu37gXJ73BXNIJOqCcSev1tDjwXhIyTgXoHuuMQ/viewform,https://docs.google.com/spreadsheets/d/1_T6NR_uPlZxa5pOe_N3LyDgFOkYc-AwBymxxdH-a4ww/edit
4157,2624,64166,20656,RUA EDGAR WERNECK,Rua Edgar Werneck,R. Edgar Werneck,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00,147.8650228,0,149.3472133,149.3472132,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdJz4gyFiGbVHlJWZSWw-eYUjugLL_c_0BblXEfqw4IjLkT6w/viewform,https://docs.google.com/spreadsheets/d/13HpMZJl99rT7Kdat-3V-JZ_6p1TaObtcHSD3lKaxgh0/edit
4544,4539,66095,44300,AV MILITAR,Avenida Militar,Av Militar,S,Via Pavimentada,,,,2022/03/10 21:00:00,1423.680304,0,1444.620147,1444.620147,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSchZczJw4R-Rn53Po1IC8q5qWQSXkkdFkEVtN_nU0_h_TSOjg/viewform,https://docs.google.com/spreadsheets/d/1AuwNH5pe3btW4PzyW2NxIvqS_d9iCXwBLiznqqb2SX4/edit
4604,4599,66139,44784,RUA DA MOEDA,Rua da Moeda,R. da Moeda,S,Via Pavimentada,,,,2022/03/10 21:00:00,165.8781472,0,167.525151,167.525151,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdZwJUeUkcx-qHPVKqfc4VJbrFDIwRj16yFqUnlxE90Wx6Y4Q/viewform,https://docs.google.com/spreadsheets/d/1f3pfzAXHnp6ttyMj5YcmLL1qXux_eknZyb-OQWuHISg/edit
4793,4786,66339,47090,RUA DO OCIDENTE,Rua do Ocidente,R. do Ocidente,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00,231.20311,0,233.4905343,233.4905343,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeSu8UKadyspaFK1f2fPLY6zbUW1FYEiEPYg15vHJWflGkXVw/viewform,https://docs.google.com/spreadsheets/d/1rIIhW2-YYvhoUii4mmtASEdB8vfa9O49SZX3VOpBxXk/edit
4807,4800,66337,47074,RUA DO OBSERVATORIO,Rua do Observatório,R. do Observatorio,S,Via Pavimentada,,,,2022/03/10 21:00:00,141.3354615,0,142.7677091,142.7677091,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSf3U9WSlcf8wkQGC9sbdPzPb_6DFRTXlMnrBFmWwZejA_3ZCQ/viewform,https://docs.google.com/spreadsheets/d/14vFZpchPnTF_j3MeSJTerwDSCgmcxrMF_eix1McP2pE/edit
4836,4830,66368,47406,AV MARQUES DE OLINDA,Avenida Marquês de Olinda,Av Marques de Olinda,S,Via Pavimentada,,,,2022/03/10 21:00:00,327.6751829,0,330.9558846,330.9558846,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeoG2GUlvdWJ42O64wp5_Vf0ZWP50TRBZSWROZl1uY_MbyN_Q/viewform,https://docs.google.com/spreadsheets/d/1yXOTlmoh_t_-00zGUMW7Gh5nfFbZWWD8WNpih9lXFjs/edit
5272,5247,66811,51136,RUA DO PILAR,Rua do Pilar,R. do Pilar,N,Via Não Pavimentada,,,,2022/03/10 21:00:00,107.3317755,0,108.4255333,108.4255333,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdzvMCw8ewzJqOOrW49nK4CqnOCiLCznNR9NNeRdscGUybX5w/viewform,https://docs.google.com/spreadsheets/d/1VRqm8msBDs1Bz1L29cXqgiSsTVrZt589DZgHeTIlLKs/edit
5414,5389,66941,52639,RUA PRIMAVERA,Rua Primavera,R. Primavera,S,Via Pavimentada,,,,2022/03/10 21:00:00,165.8100275,0,167.4473585,167.4473585,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfQewuELhJagaZOKx4aj_GtlBmhB-2eYeRM6dp9_V5CSfpvLw/viewform,https://docs.google.com/spreadsheets/d/1M9zX2G88q_fR1edLotJrzRRWjUeTxxqsa8a5GbAt2Pw/edit
5569,6537,68081,65870,PRC ARSENAL DA MARINHA,Praça Arsenal da Marinha,Prç. Arsenal da Marinha,S,Via Pavimentada,,,,2022/03/10 21:00:00,209.4643672,0,211.6759112,211.6759112,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSekrVTN7ilc_UxSckPOIy2I_k05E4-Zp2gopsUaUuvAmDHjDg/viewform,https://docs.google.com/spreadsheets/d/1GxATbENRNheWfxE4FBXV2WchzRWEiHHagqEEWLZvDg4/edit
5590,6558,68105,66184,PRC DA COMUNIDADE LUSO BRASILEIRA,Praça da Comunidade Luso Brasileira,Prc da Comunidade Luso Brasileira,S,Via Pavimentada,,,,2022/03/10 21:00:00,179.8585227,0,182.1662615,182.1662615,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScQaAai_-zdhl4MYTe0tTKH18MFYIgTVjE-3tQRGDRK08kOuA/viewform,https://docs.google.com/spreadsheets/d/1W7ElPGrbLmYRhB2y6aQlIlzOYHSSEvfmCAzkT0wQ9XY/edit
5593,6655,68206,67512,PTE CONDE MAURICIO DE NASSAU,Ponte Conde Maurício de Nassau,Pte Conde Mauríicio de Nassau,S,Via Pavimentada,,,,2022/03/10 21:00:00,222.4729167,0,224.6966249,224.6966249,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfX2ngqJqHyxyReQk4r16AybRoszyEuFxWHVidADZSaTwAVyw/viewform,https://docs.google.com/spreadsheets/d/1RKdIyUCDACSeUnT_Zz46Lwzko5kMtkZ2yYmwCWfCVr4/edit
5652,6614,68165,66869,PRC RIO BRANCO,Praça Rio Branco,Prc Rio Branco,S,Via Pavimentada,,,,2022/03/10 21:00:00,103.1916594,0,104.3081945,104.3081945,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSezTxEwPR5rmF2nCwkG6ypVydd5m77IhNB4PRRtlBQcusG4lA/viewform,https://docs.google.com/spreadsheets/d/1QSg02M4pPdn-OI-Sqi2BOXvwWLXT75mAQPZkBVcLJNc/edit
5668,6634,68185,67210,PTE BUARQUE DE MACEDO,Ponte Buarque de Macedo,Pte Buarque de Macedo,S,Via Pavimentada,,,,2022/03/10 21:00:00,311.2649039,0,314.4591424,314.4591424,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScgyVujXbbDHDfiBqnTyMzXhIKf0NlK0GKTLNosDF1FKQJrFQ/viewform,https://docs.google.com/spreadsheets/d/1mBijPhxwx8i3YONfamzLfgeX6hO5iJq0_funVlnWfP4/edit
5678,6643,68194,67369,PTE GIRATORIA,Ponte Giratória,Pte Giratória,S,Via Pavimentada,,,,2022/03/10 21:00:00,454.8629358,0,461.2689581,461.2689581,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdfY9UBA3cEfvQP9wOVZYlWAG6WvpvPkSApFFK57p2Iiw_IrA/viewform,https://docs.google.com/spreadsheets/d/1pLHBfe2OqXyBrQ0Lm19ANYXm0dwi_K0bseU8bIeacUI/edit
6143,6104,67645,60500,RUA VIGARIO TENORIO,Rua Vigário Tenório,R. Vigário Tenório,S,Via Pavimentada,,,,2022/03/10 21:00:00,326.4526647,0,329.7530989,329.7530989,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScrEU3gJpTEyPMqUWiZnXujIorVCNZ5Od5EC5lqunzUdFW97g/viewform,https://docs.google.com/spreadsheets/d/1LeEIDnjWhiYwL1jRW_mqU9nrK1RbJJVqmQ8N_O3OMmk/edit
6170,6131,67674,60984,TRV TIRADENTES,Travessa Tiradentes,Trv Tiradentes,S,Via Pavimentada,,,,2022/03/10 21:00:00,281.9505207,0,284.86107,284.86107,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSe3aAjFu-XzJ6Ixv1FfeDy-_takXQyJkXZsZ-Ds3HIyOuNonQ/viewform,https://docs.google.com/spreadsheets/d/1yvqL6Gf28ZRd8teg2MJic7srKWrSMwB4dD2qURNjQwk/edit
6186,6146,67691,61190,RUA TOMAZINA,Rua Tomazina,R. Tomazina,S,Via Pavimentada,,,,2022/03/10 21:00:00,154.4361209,0,155.9707488,155.9707488,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfWxmbCEBLfddWJ1-AkwHczBWp17rv5cB5-fS3ZOjFD1pghdw/viewform,https://docs.google.com/spreadsheets/d/1asN_2ZGyBXzxKR1C4I8htDAMwhxaHRoFOI85spDQZuI/edit
6229,6189,67735,61700,TRV TUYUTY,Travessa Tuyuty,Trv Tuyuty,S,Via Pavimentada,,,,2022/03/10 21:00:00,75.71507204,0,76.47134107,76.47134107,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeeSWDqOIVY1oXYNIvJ-gdhMsdMnlouMtRFcfCa0caCdxCUvA/viewform,https://docs.google.com/spreadsheets/d/1eKggPvcv3E6wrrHX3wJ-WrLJW4K7P_dOg4vMeWWMWOY/edit
6501,6463,68020,65218,RUA VITAL DE OLIVEIRA,Rua Vital de Oliveira,R. Vital de Oliveira,S,Via Pavimentada,,,,2022/03/10 21:00:00,52.49635804,0,53.04944248,53.04944248,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSf4XdU12di1TYo1Jpg9fwGmCK6w9FHqsQ4JSy2ono71TTnE4A/viewform,https://docs.google.com/spreadsheets/d/1EUmZhxuVVf3jV3YQcLKtg7aV7z70WLGg8Zw8Fb1KWfU/edit
6649,7122,68666,73202,RUA DO MOINHO,Rua do Moinho,R. do Moinho,S,Via Pavimentada,,,,2022/03/10 21:00:00,126.4729699,0,127.7677417,127.7677417,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScUIXwv4DFP2xcL_yRmFjLZdbMmX8L8Ro-e25uWi7quuF8Zdg/viewform,https://docs.google.com/spreadsheets/d/1UM5VBjhG8akb1tzqXUHL10SxQb0tznd4IaLo6LfO6vA/edit
6824,7297,68849,75531,RUA ALUIZIO PERIQUITO,Rua Aluizio Periquito,R. Aluizio Periquito,S,Via Pavimentada,,,,2022/03/10 21:00:00,74.13881791,0,74.87194618,74.87194618,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfYauM8AP9ii1fPNgBp98uiIWR_0DG_AKPp1o_3phpBaPn4xw/viewform,https://docs.google.com/spreadsheets/d/1yUkTyUqzgq0UPo0TrXkHHoCbW3QfAFBfr__QB9bQPBY/edit
6836,7310,68846,75485,RUA PROFESSOR ALOISIO MAGALHAES,Rua Professor Aloísio Magalhães,R. Prof Aloisio Magalhães,S,Via Pavimentada,,,,2022/03/10 21:00:00,66.47848045,0,67.25387453,67.25387453,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeByPidP4koNDuPnHCUdXUI19-GAEiK3VJfMJgQiTXuLv2RLw/viewform,https://docs.google.com/spreadsheets/d/16FzCmhycgD_6qHj7AbT3EmfRZNx0_UB5gam6soPyQzw/edit
7305,5798,67346,57630,AV RIO BRANCO,Avenida Rio Branco,Av Rio Branco,S,Via Pavimentada,,,,2022/03/10 21:00:00,265.0788394,0,267.8106356,267.8106356,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfGZiteBijj6MIzaTbkTeb6v72JfdyJZAvbb-7eko78q7RmNA/viewform,https://docs.google.com/spreadsheets/d/1Gnh0mcHNDhqrro4-nGc1YpQ9V4cAC2jtV-ujOTH2JYI/edit
8236,8212,69772,87920,RUA ITAIOPOLIS,Rua Itaiópolis,R. Itaiopolis,S,Via Pavimentada,,,,2022/03/10 21:00:00,62.46530318,0,63.18756041,63.18756041,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLScjSFlHqTqExHmyURp2TGKgxi1o8IBOTwR2ouZAWddo-zA79g/viewform,https://docs.google.com/spreadsheets/d/13MrxOhEzJFR6nTGMQ7gOQfRclkVCxuE6wg9sPQVt0vA/edit
